Date, day_cloud
195701195712,2.98
195801195812,3.30
195901195912,3.13
196001196012,3.13
196101196112,2.67
196201196212,3.04
196301196312,3.23
196401196412,3.01
196501196512,2.96
196601196612,3.03
196701196712,2.94
196801196812,3.34
196901196912,2.91
197001197012,2.96
197101197112,3.28
197201197212,2.89
197301197312,3.61
197401197412,3.68
197501197512,3.46
197601197612,3.14
197701197712,3.10
197801197812,3.44
197901197912,3.24
198001198012,3.01
198101198112,3.33
198201198212,3.02
198301198312,3.34
198401198412,3.21
198501198512,3.09
198601198612,3.12
198701198712,3.27
198801198812,3.09
198901198912,3.24
199001199012,3.13
199101199112,2.95
199201199212,3.28
199301199312,3.29
199401199412,2.65
199501199512,3.36
199601199612,3.09
199701199712,3.33
199801199812,3.47
199901199912,3.26
200001200012,3.50
200101200112,3.30
200201200212,2.80
200301200312,3.06
200401200412,3.05
200501200512,3.02
200601200612,3.00
200701200712,3.04
200801200812,3.14
200901200912,3.03
201001201012,3.67
201101201112,3.53
201201201212,3.08
201301201312,3.16
201401201412,3.07